PLAYER,TEAM,AGE,POS,HANDED,SIGNING TEAM,TYPE,SIGNING AGE,CLAUSE,LENGTH,EXPIRY,EXP. YEAR,CAP HIT,AAV,SALARY,BASE SALARY,S.BONUS,P.BONUS
Brian Elliott,-,31,G,Left,STL,Standard (1-way),29,,3,UFA,2017,"$2,500,000","$2,500,000","$2,700,000","$2,700,000",$0,$0
Tommy Wingels,-,28,"RW, LW",Right,SJS,Standard (1-way),26,,3,UFA,2017,"$2,475,000","$2,475,000","$2,600,000","$2,600,000",$0,$0
Blake Comeau,-,30,"RW, LW",Right,COL,Standard (1-way),29,,3,UFA,2018,"$2,400,000","$2,400,000","$2,400,000","$2,400,000",$0,$0
Jakub Kindl,-,29,LD,Left,DET,Standard (1-way),26,,4,UFA,2017,"$2,400,000","$2,400,000","$3,000,000","$3,000,000",$0,$0
Dale Weise,-,27,"RW, LW",Right,PHI,Standard (1-way),27,,4,UFA,2020,"$2,350,000","$2,350,000","$2,750,000","$2,250,000","$500,000",$0
Michael Raffl,-,27,"LW, RW",Left,PHI,Standard (1-way),27,,3,UFA,2019,"$2,350,000","$2,350,000","$2,350,000","$2,350,000",$0,$0
Jake Allen,NJD,25,G,Left,STL,Standard (1-way),24,,2,RFA,2017,"$2,350,000","$2,350,000","$2,500,000","$2,500,000",$0,$0
John Gibson,ANA,22,G,Left,ANA,Standard (1-way),22,,3,RFA,2019,"$2,300,000","$2,300,000","$1,500,000","$1,500,000",$0,$0
Jimmy Hayes,-,Deceased (31),RW,Right,BOS,Standard (1-way),25,,3,UFA,2018,"$2,300,000","$2,300,000","$2,300,000","$2,300,000",$0,$0
Marcus Foligno,MIN,24,"RW, LW",Left,BUF,Standard (1-way),24,,1,RFA,2017,"$2,250,000","$2,250,000","$2,250,000","$2,250,000",$0,$0
Roman Polák,-,30,RD,Right,TOR,Standard (1-way),30,,1,UFA,2017,"$2,250,000","$2,250,000","$2,250,000","$2,250,000",$0,$0
Jason Chimera,-,37,"LW, RW",Left,NYI,35+ (1-way),37,,2,UFA,2018,"$2,250,000","$2,250,000","$2,000,000","$2,000,000",$0,$0
Daniel Winnik,-,31,C,Left,TOR,Standard (1-way),30,,2,UFA,2017,"$2,250,000","$2,250,000","$1,800,000","$575,000","$1,225,000",$0
Nick Schultz,-,33,LD,Left,PHI,Standard (1-way),32,,2,UFA,2017,"$2,250,000","$2,250,000","$2,250,000","$2,250,000",$0,$0
Tobias Rieder,-,23,"RW, LW",Left,ARI,Standard (1-way),23,,2,UFANo QO,2018,"$2,225,000","$2,225,000","$2,000,000","$2,000,000",$0,$0
Robin Lehner,VGK,24,G,Left,OTT,Standard (1-way),23,,3,RFA,2017,"$2,225,000","$2,225,000","$3,150,000","$3,150,000",$0,$0
Lance Bouma,-,26,"C, LW, RW",Left,CGY,Standard (1-way),25,,3,UFA,2018,"$2,200,000","$2,200,000","$2,200,000","$2,200,000",$0,$0
Matt Calvert,-,26,"LW, RW",Left,CBJ,Standard (1-way),25,,3,UFA,2018,"$2,200,000","$2,200,000","$2,200,000","$2,200,000",$0,$0
Thomas Hickey,-,27,LD,Left,NYI,Standard (1-way),26,,3,UFA,2018,"$2,200,000","$2,200,000","$2,250,000","$2,250,000",$0,$0
Shawn Matthias,-,28,"C, LW",Left,WPG,Standard (1-way),28,,2,UFA,2018,"$2,125,000","$2,125,000","$2,125,000","$2,125,000",$0,$0
David Schlemko,-,29,LD,Left,SJS,Standard (1-way),29,,4,UFA,2020,"$2,100,000","$2,100,000","$2,500,000","$2,250,000","$250,000",$0
Ian Cole,VAN,27,LD/RD,Left,PIT,Standard (1-way),26,,3,UFA,2018,"$2,100,000","$2,100,000","$2,300,000","$2,300,000",$0,$0
Brad Richardson,-,31,C,Left,ARI,Standard (1-way),30,,3,UFA,2018,"$2,083,333","$2,083,333","$2,250,000","$2,250,000",$0,$0
Riley Sheahan,-,24,"LW, C",Left,DET,Standard (1-way),24,,2,UFANo QO,2018,"$2,075,000","$2,075,000","$2,075,000","$1,875,000","$200,000",$0
Jiri Hudler,-,32,"LW, RW",Left,DAL,Standard (1-way),32,,1,UFA,2017,"$2,000,000","$2,000,000","$2,000,000","$2,000,000",$0,$0
Calle Järnkrok,TOR,24,"RW, C, LW",Right,NSH,Standard (1-way),24,,6,UFA,2022,"$2,000,000","$2,000,000","$1,700,000","$1,700,000",$0,$0
Fedor Tyutin,-,32,LD,Left,COL,Standard (1-way),32,,1,UFA,2017,"$2,000,000","$2,000,000","$2,000,000","$2,000,000",$0,$0
