PLAYER,TEAM,AGE,POS,HANDED,SIGNING TEAM,TYPE,SIGNING AGE,CLAUSE,LENGTH,EXPIRY,EXP. YEAR,CAP HIT,AAV,SALARY,BASE SALARY,S.BONUS,P.BONUS,season,Y_Salary_Cap_Percentage
Matt Jones,-,24,D,Left,ARI,Standard (2-way),24,,2,RFA,2010,"$845,000","$845,000","$815,000","$815,000",$0,$0,2009,0.02071078431372549
Rob Schremp,-,22,C,Left,EDM,Entry-Level,19,,3,RFA,2009,"$841,667","$841,667","$815,000","$815,000",$0,$0,2009,0.020629093137254903
Fredrik Sjostrom,-,25,LW,Left,NYR,Standard (1-way),25,,1,RFA,2009,"$840,000","$840,000","$840,000","$840,000",$0,$0,2009,0.020588235294117647
David Clarkson,-,24,RW,Right,NJD,Standard (1-way),24,,2,RFA,2010,"$837,500","$837,500","$800,000","$800,000",$0,$0,2009,0.020526960784313725
Jassen Cullimore,-,35,LD,Left,FLA,35+ (1-way),35,,1,UFA,2009,"$830,000","$830,000","$830,000","$830,000",$0,$0,2009,0.02034313725490196
Marc-Antoine Pouliot,-,23,C,Right,EDM,Standard (1-way),23,,2,UFA,2010,"$825,000","$825,000","$825,000","$825,000",$0,$0,2009,0.02022058823529412
Jason LaBarbera,-,28,G,Left,LAK,Standard (1-way),27,,2,UFA,2009,"$825,000","$825,000","$850,000","$850,000",$0,$0,2009,0.02022058823529412
Kenndal McArdle,-,21,D,Left,FLA,Entry-Level,20,,3,RFA,2010,"$823,333","$823,333","$850,000","$850,000",$0,$0,2009,0.020179730392156862
Angelo Esposito,-,19,C,Left,ATL,Entry-Level,19,,3,RFA,2012,"$821,667","$945,833",$0,"-$87,500","$87,500",$0,2009,0.02013889705882353
Riku Helenius,-,20,G,Left,TBL,Entry-Level,19,,3,RFA,2011,"$821,667","$821,667","$850,000","$765,000","$85,000",$0,2009,0.02013889705882353
Gilbert Brule,-,21,C,Right,CBJ,Entry-Level,18,,3,RFA,2009,"$821,667","$1,246,667","$765,000","$765,000",$0,"$425,000",2009,0.02013889705882353
Ryan O'Marra,-,21,RW,Right,NYI,Entry-Level,19,,3,RFA,2010,"$821,667","$1,221,667","$850,000","$765,000","$85,000","$400,000",2009,0.02013889705882353
Ryan Parent,-,21,D,Left,NSH,Entry-Level,19,,3,RFA,2010,"$821,667","$855,000","$850,000","$765,000","$85,000","$100,000",2009,0.02013889705882353
Ivan Vishnevskiy,-,20,D,Left,DAL,Entry-Level,19,,3,RFA,2011,"$821,667","$846,667","$850,000","$765,000","$85,000",$0,2009,0.02013889705882353
Nick Palmieri,-,18,RW,Right,NJD,Entry-Level,18,,3,RFA,2012,"$821,667","$850,000",$0,"-$85,000","$85,000",$0,2009,0.02013889705882353
Devin Setoguchi,-,21,RW,Right,SJS,Entry-Level,18,,3,RFA,2010,"$821,667","$1,246,667","$850,000","$850,000",$0,"$425,000",2009,0.02013889705882353
Bobby Sanguinetti,-,20,RD,Right,NYR,Entry-Level,19,,3,RFA,2011,"$821,667","$855,000","$850,000","$765,000","$85,000",$0,2009,0.02013889705882353
Jakub Kindl,-,21,LD,Left,DET,Entry-Level,20,,3,RFA,2010,"$821,667","$821,667","$850,000","$850,000",$0,$0,2009,0.02013889705882353
Kyle Okposo,FLA,20,RW,Right,NYI,Entry-Level,19,,3,RFA,2011,"$821,667","$1,671,667","$850,000","$765,000","$85,000","$850,000",2009,0.02013889705882353
Semyon Varlamov,NYI,20,G,Left,WSH,Entry-Level,19,,3,RFA,2011,"$821,667","$821,667","$850,000","$765,000","$85,000",$0,2009,0.02013889705882353
Steve Mason,-,20,G,Right,CBJ,Entry-Level,19,,3,RFA,2011,"$821,667","$905,000","$850,000","$850,000",$0,"$150,000",2009,0.02013889705882353
Claude Giroux,OTT,20,"RW, C",Right,PHI,Entry-Level,19,,3,RFA,2011,"$821,667","$821,667","$850,000","$765,000","$85,000",$0,2009,0.02013889705882353
Patrik Berglund,-,20,"C, LW",Left,STL,Entry-Level,19,,3,RFA,2011,"$821,667","$1,246,667","$850,000","$765,000","$85,000","$425,000",2009,0.02013889705882353
Artem Anisimov,-,20,"C, LW",Left,NYR,Entry-Level,19,,3,RFA,2011,"$821,667","$821,667","$850,000","$765,000","$85,000",$0,2009,0.02013889705882353
Anze Kopitar,LAK,20,C,Left,LAK,Entry-Level,18,,3,RFA,2009,"$821,667","$955,867","$765,000","$765,000",$0,"$134,200",2009,0.02013889705882353
Trevor Lewis,LAK,21,"RW, C",Right,LAK,Entry-Level,19,,3,RFA,2010,"$821,667","$855,000","$850,000","$765,000","$85,000",$0,2009,0.02013889705882353
Derick Brassard,-,20,"C, LW",Left,CBJ,Entry-Level,18,,3,RFA,2010,"$821,667","$1,246,667","$850,000","$850,000",$0,"$425,000",2009,0.02013889705882353
