PLAYER,TEAM,AGE,POS,HANDED,SIGNING TEAM,TYPE,SIGNING AGE,CLAUSE,LENGTH,EXPIRY,EXP. YEAR,CAP HIT,AAV,SALARY,BASE SALARY,S.BONUS,P.BONUS,season,Y_Salary_Cap_Percentage,Y_Salary_Cap
Mike Commodore,-,29,D,Right,CBJ,Standard (1-way),28,,5,UFA,2013,"$3,750,000","$3,750,000","$3,800,000","$3,800,000",$0,$0,2009-10,0.06602112676056338,56800000
Toby Enström,-,24,LD,Left,ATL,Standard (1-way),23,,4,UFA,2013,"$3,750,000","$3,750,000","$3,000,000","$3,000,000",$0,$0,2009-10,0.06602112676056338,56800000
Chris Kunitz,-,29,"RW, LW",Left,ANA,Standard (1-way),27,,4,UFA,2012,"$3,725,000","$3,725,000","$3,600,000","$3,600,000",$0,$0,2009-10,0.06558098591549295,56800000
Filip Kuba,-,32,D,Left,OTT,Standard (1-way),32,NTC,3,UFA,2012,"$3,700,000","$3,700,000","$3,700,000","$3,700,000",$0,$0,2009-10,0.06514084507042253,56800000
Ryane Clowe,-,26,"LW, RW",Left,SJS,Standard (1-way),26,NTC,4,UFA,2013,"$3,625,000","$3,625,000","$3,500,000","$3,500,000",$0,$0,2009-10,0.06382042253521127,56800000
Barret Jackman,-,28,LD,Left,STL,Standard (1-way),26,NTC,4,UFA,2012,"$3,625,000","$3,625,000","$4,500,000","$4,500,000",$0,$0,2009-10,0.06382042253521127,56800000
Mattias Ohlund,-,32,LD,Left,TBL,Standard (1-way),32,NMC,7,UFA,2016,"$3,607,142","$3,607,142","$4,000,000","$4,000,000",$0,$0,2009-10,0.06350602112676057,56800000
Rod Brind'Amour,-,38,C,Left,CAR,35+ (1-way),35,,5,UFA,2011,"$3,600,000","$3,600,000","$3,000,000","$3,000,000",$0,$0,2009-10,0.06338028169014084,56800000
Jarret Stoll,-,27,C,Right,LAK,Standard (1-way),26,,4,UFA,2012,"$3,600,000","$3,600,000","$3,500,000","$3,500,000",$0,$0,2009-10,0.06338028169014084,56800000
Ray Whitney,-,37,LW,Right,CAR,35+ (1-way),34,NMC,3,UFA,2010,"$3,550,000","$3,550,000","$3,550,000","$3,550,000",$0,$0,2009-10,0.0625,56800000
Brent Burns,CAR,24,RD,Right,MIN,Standard (1-way),22,,4,UFA,2012,"$3,550,000","$3,550,000","$3,400,000","$3,400,000",$0,$0,2009-10,0.0625,56800000
Cory Stillman,-,35,LW,Left,FLA,Standard (1-way),34,,3,UFA,2011,"$3,533,333","$3,533,333","$3,500,000","$3,500,000",$0,$0,2009-10,0.06220656690140845,56800000
Sami Salo,-,34,D,Right,VAN,Standard (1-way),32,NTC,4,UFA,2011,"$3,500,000","$3,500,000","$3,750,000","$3,750,000",$0,$0,2009-10,0.061619718309859156,56800000
Craig Rivet,-,34,D,Right,SJS,Standard (1-way),32,,4,UFA,2011,"$3,500,000","$3,500,000","$3,500,000","$3,500,000",$0,$0,2009-10,0.061619718309859156,56800000
Brent Seabrook,TBL,24,RD,Right,CHI,Standard (1-way),22,,3,RFA,2011,"$3,500,000","$3,500,000","$3,500,000","$3,500,000",$0,$0,2009-10,0.061619718309859156,56800000
Ryan Suter,DAL,24,LD,Left,NSH,Standard (1-way),23,,4,UFA,2012,"$3,500,000","$3,500,000","$3,500,000","$3,500,000",$0,$0,2009-10,0.061619718309859156,56800000
Nick Schultz,-,26,LD,Left,MIN,Standard (1-way),25,,6,UFA,2014,"$3,500,000","$3,500,000","$3,400,000","$3,400,000",$0,$0,2009-10,0.061619718309859156,56800000
Willie Mitchell,-,32,LD,Left,VAN,Standard (1-way),29,NTC,4,UFA,2010,"$3,500,000","$3,500,000","$3,500,000","$3,500,000",$0,$0,2009-10,0.061619718309859156,56800000
Johnny Oduya,-,27,LD,Left,NJD,Standard (1-way),27,,3,UFA,2012,"$3,500,000","$3,500,000","$3,000,000","$3,000,000",$0,$0,2009-10,0.061619718309859156,56800000
Justin Williams,-,27,RW,Right,CAR,Standard (1-way),24,,5,UFA,2011,"$3,500,000","$3,500,000","$3,500,000","$3,500,000",$0,$0,2009-10,0.061619718309859156,56800000
